r_reco_mm,merged_smooth_bias_r_rec_minus_r_true_mm
2603.2016008004002,-23.816127673245067
2612.056028014007,-23.82746792769305
2620.910455227614,-23.838545948485237
2629.764882441221,-23.84936122358789
2638.6193096548272,-23.859913240967263
2647.4737368684346,-23.87020148858963
2656.328164082041,-23.880225454421232
2665.1825912956483,-23.889984626428344
2674.0370185092547,-23.899478492577217
2682.8914457228616,-23.908706540834114
2691.7458729364685,-23.917668259165296
2700.6003001500753,-23.92636313553702
2709.454727363682,-23.93479065791555
2718.3091545772886,-23.94295031426714
2727.1635817908955,-23.950841592558056
2736.0180090045023,-23.958463980754555
2744.872436218109,-23.965816966822892
2753.7268634317156,-23.97290003872934
2762.581290645323,-23.979712684440145
2771.4357178589294,-23.986254391921573
2780.2901450725367,-23.99252464913988
2789.144572286143,-23.998522944061335
2797.99899949975,-24.00424876465219
2806.853426713357,-24.009701598878703
2815.7078539269637,-24.01488093470714
2824.5622811405706,-24.01978626010376
2833.4167083541774,-24.024417063034818
2842.271135567784,-24.028772831466576
2851.1255627813907,-24.0328530533653
2859.9799899949976,-24.036657216697243
2868.8344172086045,-24.040184809428666
2877.6888444222113,-24.04343531952583
2886.5432716358177,-24.046408234954995
2895.397698849425,-24.04910304368242
2904.2521260630315,-24.051519233674362
2913.106553276639,-24.053656292897088
2921.960980490245,-24.055513709316852
2930.815407703852,-24.057090970899914
2939.669834917459,-24.058387565612538
2948.524262131066,-24.05940298142098
2957.3786893446722,-24.0601367062915
2966.2331165582796,-24.060588228190362
2975.087543771886,-24.060757035083824
2983.9419709854933,-24.0602891095766
2992.7963981990997,-24.058680112530567
3001.650825412706,-24.055932763206993
3010.5052526263134,-24.052053806807514
3019.35967983992,-24.047049988533765
3028.214107053527,-24.040928053587397
3037.0685342671336,-24.033694747170035
3045.9229614807405,-24.025356814483324
3054.7773886943473,-24.0159210007289
3063.631815907954,-24.005394051108397
3072.486243121561,-23.993782710823456
3081.340670335168,-23.98109372507572
3090.1950975487744,-23.96733383906682
3099.0495247623817,-23.952509797998392
3107.903951975988,-23.936628347072087
3116.7583791895954,-23.919696231489528
3125.612806403202,-23.90172019645236
3134.4672336168082,-23.88270698716222
3143.3216608304156,-23.862663348820742
3152.176088044022,-23.841596026629578
3161.030515257629,-23.819511765790345
3169.8849424712357,-23.796417311504698
3178.7393696848426,-23.772319408974262
3187.5937968984495,-23.747224803400687
3196.4482241120563,-23.7211402399856
3205.3026513256627,-23.69407246393065
3214.15707853927,-23.66602822043746
3223.0115057528765,-23.637014254707687
3231.865932966484,-23.607037311942953
3240.72036018009,-23.576104137344906
3249.574787393697,-23.544221476115183
3258.429214607304,-23.511396073455412
3267.2836418209104,-23.47763467456724
3276.1380690345177,-23.4429440246523
3284.992496248124,-23.40733086891223
3293.846923461731,-23.370801952548675
3302.701350675338,-23.333364020763266
3311.5557778889447,-23.295023818757645
3320.410205102551,-23.25578809173345
3329.2646323161584,-23.215663584892308
3338.119059529765,-23.17465704343588
3346.973486743372,-23.13277521256578
